TABNAME,FIELDNAME,DEFAULT,MANDATORY,PARAMETER
PP_CM0,MANDT,100,X,
PP_CO03,MANDT,100,X,
PP_CO14,MANDT,100,X,
PP_CRCA,MANDT,100,X,
PP_CRCO,MANDT,100,X,
PP_CRID,MANDT,100,X,
PP_CRTX,MANDT,100,X,
PP_CS03,MANDT,100,X,
PP_CS15,MANDT,100,X,
PP_KAKO,MANDT,100,X,
PP_KAKT,MANDT,100,X,
PP_KAZY,MANDT,100,X,
PP_PLKO,MANDT,100,X,
PP_T024D,MANDT,100,X,
PP_T416T,MANDT,100,X,
PP0001,MANDT,100,X,
PP0002,MANDT,100,X,
PP0003,MANDT,100,X,
PP0004,MANDT,100,X,
PP0005,MANDT,100,X,
PP0006,MANDT,100,X,
PP0007,MANDT,100,X,
PP0008,MANDT,100,X,
PP0010,MANDT,100,X,
PS_0001,MANDT,100,X,
PS_AFAB,MANDT,100,X,
PS_AFKO_2,MANDT,100,X,
PS_AFPO_2,MANDT,100,X,
PS_AFPO_3,MANDT,100,X,
PS_AFVC_2,MANDT,100,X,
PS_AFVC_3,MANDT,100,X,
PS_AFVU,MANDT,100,X,
PS_AFVV,MANDT,100,X,
PS_BSEG_2,MANDT,100,X,
PS_COBK_2,MANDT,100,X,
PS_COBRA_2,MANDT,100,X,
PS_COEP_2,MANDT,100,X,
PS_COSP_1,MANDT,100,X,
PS_COSS_3,MANDT,100,X,
PS_PLAB,MANDT,100,X,
PS_S_ALR_87005104,MANDT,100,X,
PS_TCN01,MANDT,100,X,
PS0001,MANDT,100,X,
PS0002,MANDT,100,X,
PS0007,MANDT,100,X,
PS0008,MANDT,100,X,
PS0009,MANDT,100,X,
PS0010,MANDT,100,X,
QM_QA33_1,MANDT,100,X,
QM_QDR3_1,MANDT,100,X,
QM_QDR3_2,MANDT,100,X,
QM_QDR3_4,MANDT,100,X,
QM_QI03,MANDT,100,X,
SD_A004,MANDT,100,X,
SD_COSP_2,MANDT,100,X,
SD_COSS_2,MANDT,100,X,
SD_KONH,MANDT,100,X,
SD_KONM,MANDT,100,X,
SD_KONP,MANDT,100,X,
SD_KONV,MANDT,100,X,
SD_MCTC,MANDT,100,X,
SD_MCTE,MANDT,100,X,
SD_MCTK,MANDT,100,X,
SD_S001,MANDT,100,X,
SD_S002_1,MANDT,100,X,
SD_S002_2,MANDT,100,X,
SD_SDBLBDDL,MANDT,100,X,
SD_SDD1,MANDT,100,X,
SD_T685T,MANDT,100,X,
SD_TPART,MANDT,100,X,
SD_TSPAT,MANDT,100,X,
SD_TVAGT,MANDT,100,X,
SD_TVAKT,MANDT,100,X,
SD_TVBST,MANDT,100,X,
SD_TVFST,MANDT,100,X,
SD_TVGRT,MANDT,100,X,
SD_TVKBT,MANDT,100,X,
SD_TVKOT,MANDT,100,X,
SD_TVROT,MANDT,100,X,
SD_TVSTT,MANDT,100,X,
SD_TVTWT,MANDT,100,X,
SD_V_23,MANDT,100,X,
SD_V_26,MANDT,100,X,
SD_VA03,MANDT,100,X,
SD_VA05_1,MANDT,100,X,
SD_VA05_2,MANDT,100,X,
SD_VA23,MANDT,100,X,
SD_VBAK_1,MANDT,100,X,
SD_VBAK_2,MANDT,100,X,
SD_VBAK_3,MANDT,100,X,
SD_VBAP_1,MANDT,100,X,
SD_VBAP_2,MANDT,100,X,
SD_VBAP_3,MANDT,100,X,
SD_VBAP_4,MANDT,100,X,
SD_VBAP_5,MANDT,100,X,
SD_VBEP_1,MANDT,100,X,
SD_VBEP_2,MANDT,100,X,
SD_VBFA,MANDT,100,X,
SD_VBKD_1,MANDT,100,X,
SD_VBKD_2,MANDT,100,X,
SD_VBPA,MANDT,100,X,
SD_VBRP,MANDT,100,X,
SD_VBUK,MANDT,100,X,
SD_VD03,MANDT,100,X,
SD_VF03_1,MANDT,100,X,
SD_VF05_3,MANDT,100,X,
SD_VL03N_1,MANDT,100,X,
SD_VL03N_2,MANDT,100,X,
SD_VTTK,MANDT,100,X,
SD0001,MANDT,100,X,
SD0002,MANDT,100,X,
SD0003,MANDT,100,X,
SD0006,MANDT,100,X,
SD0007,MANDT,100,X,
SD0011,MANDT,100,X,
SD0012,MANDT,100,X,
SD0013,MANDT,100,X,
SD0014,MANDT,100,X,
